"","","ANCILLARY (N=432)","CHEMOTHERAPY (N=204)","HORMONE (N=3791)","IMMUNOTHERAPY (N=15)","Total (N=4442)","p value"
"1","generic_name","","","","","","< 0.001"
"2","-  AFINITOR 10MG TABLETS","0 (0.0%)","2 (1.0%)","0 (0.0%)","0 (0.0%)","2 (0.0%)",""
"3","-  AFINITOR 2.5MG TABLETS","0 (0.0%)","1 (0.5%)","0 (0.0%)","0 (0.0%)","1 (0.0%)",""
"4","-  AFINITOR 5MG TABLETS","0 (0.0%)","3 (1.5%)","0 (0.0%)","0 (0.0%)","3 (0.1%)",""
"5","-  ANASTROZOLE 1MG TABLETS","0 (0.0%)","0 (0.0%)","2046 (54.0%)","0 (0.0%)","2046 (46.1%)",""
"6","-  ARIMIDEX 1MG TABLETS","0 (0.0%)","0 (0.0%)","2 (0.1%)","0 (0.0%)","2 (0.0%)",""
"7","-  AROMASIN 25MG TABLETS","0 (0.0%)","0 (0.0%)","2 (0.1%)","0 (0.0%)","2 (0.0%)",""
"8","-  CABOMETYX 60MG TABLETS","0 (0.0%)","1 (0.5%)","0 (0.0%)","0 (0.0%)","1 (0.0%)",""
"9","-  CAPECITABINE 150MG TABLETS","0 (0.0%)","3 (1.5%)","0 (0.0%)","0 (0.0%)","3 (0.1%)",""
"10","-  CAPECITABINE 500MG TABLETS","0 (0.0%)","22 (10.8%)","0 (0.0%)","0 (0.0%)","22 (0.5%)",""
"11","-  DEXAMETHASONE 0.5MG TABLETS","0 (0.0%)","0 (0.0%)","1 (0.0%)","0 (0.0%)","1 (0.0%)",""
"12","-  DEXAMETHASONE 0.5MG/5ML ORAL SOLN","0 (0.0%)","0 (0.0%)","1 (0.0%)","0 (0.0%)","1 (0.0%)",""
"13","-  DEXAMETHASONE 1MG TABLETS","0 (0.0%)","0 (0.0%)","2 (0.1%)","0 (0.0%)","2 (0.0%)",""
"14","-  DEXAMETHASONE 2MG TABLETS","0 (0.0%)","0 (0.0%)","3 (0.1%)","0 (0.0%)","3 (0.1%)",""
"15","-  DEXAMETHASONE 4MG TABLETS","0 (0.0%)","0 (0.0%)","12 (0.3%)","0 (0.0%)","12 (0.3%)",""
